cycSecs,cycMps,cycGrade,cycRoadType
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0.888888889,0,0
15,1.5,0,0
16,2.361111111,0,0
17,3.194444444,0,0
18,3.916666667,0,0
19,4.5,0,0
20,5.194444444,0,0
21,5.527777778,0,0
22,5.277777778,0,0
23,5.722222222,0,0
24,5.75,0,0
25,6.694444444,0,0
26,7.166666667,0,0
27,7.611111111,0,0
28,8.027777778,0,0
29,8.361111111,0,0
30,8.694444444,0,0
31,8.666666667,0,0
32,8.666666667,0,0
33,8.972222222,0,0
34,9.25,0,0
35,9.277777778,0,0
36,9.333333333,0,0
37,9.277777778,0,0
38,9.25,0,0
39,9.194444444,0,0
40,9.25,0,0
41,9.305555556,0,0
42,9.166666667,0,0
43,9.111111111,0,0
44,9.055555556,0,0
45,9.083333333,0,0
46,8.972222222,0,0
47,8.861111111,0,0
48,8.694444444,0,0
49,8.555555556,0,0
50,8.5,0,0
51,8.305555556,0,0
52,8.083333333,0,0
53,7.5,0,0
54,6.944444444,0,0
55,6.333333333,0,0
56,6.138888889,0,0
57,5.916666667,0,0
58,5.638888889,0,0
59,5.888888889,0,0
60,6.166666667,0,0
61,6,0,0
62,6.138888889,0,0
63,6.444444444,0,0
64,6.611111111,0,0
65,6.444444444,0,0
66,6.138888889,0,0
67,5.888888889,0,0
68,5.555555556,0,0
69,5.083333333,0,0
70,4.166666667,0,0
71,2.777777778,0,0
72,1.583333333,0,0
73,0.583333333,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0.388888889,0,0
102,0.805555556,0,0
103,1.166666667,0,0
104,1.472222222,0,0
105,1.777777778,0,0
106,2.111111111,0,0
107,2.416666667,0,0
108,2.694444444,0,0
109,3.027777778,0,0
110,3.277777778,0,0
111,3.416666667,0,0
112,3.638888889,0,0
113,4.083333333,0,0
114,4.694444444,0,0
115,5.25,0,0
116,5.611111111,0,0
117,5.75,0,0
118,5.777777778,0,0
119,5.722222222,0,0
120,5.527777778,0,0
121,5.361111111,0,0
122,5.305555556,0,0
123,5.361111111,0,0
124,5.527777778,0,0
125,5.805555556,0,0
126,6.111111111,0,0
127,6.444444444,0,0
128,6.75,0,0
129,7.083333333,0,0
130,7.333333333,0,0
131,7.472222222,0,0
132,7.5,0,0
133,7.444444444,0,0
134,7.388888889,0,0
135,7.361111111,0,0
136,7.388888889,0,0
137,7.5,0,0
138,7.638888889,0,0
139,7.722222222,0,0
140,7.666666667,0,0
141,7.388888889,0,0
142,7,0,0
143,6.555555556,0,0
144,6.138888889,0,0
145,5.722222222,0,0
146,5.361111111,0,0
147,5.194444444,0,0
148,5.194444444,0,0
149,5.305555556,0,0
150,5.416666667,0,0
151,5.416666667,0,0
152,5.25,0,0
153,4.916666667,0,0
154,4.583333333,0,0
155,4.361111111,0,0
156,4.305555556,0,0
157,4.305555556,0,0
158,4.333333333,0,0
159,4.444444444,0,0
160,4.722222222,0,0
161,4.972222222,0,0
162,5.083333333,0,0
163,5,0,0
164,4.75,0,0
165,4.277777778,0,0
166,3.75,0,0
167,3.333333333,0,0
168,3.083333333,0,0
169,2.944444444,0,0
170,2.916666667,0,0
171,3,0,0
