cycSecs,cycMps,cycGrade,cycRoadType
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,1.341141759,0,0
22,2.637578792,0,0
23,3.844606375,0,0
24,5.141043408,0,0
25,6.392775716,0,0
26,7.555098574,0,0
27,7.733917475,0,0
28,8.091555277,0,0
29,9.253878135,0,0
30,9.700925388,0,0
31,10.01385846,0,0
32,10.05856319,0,0
33,9.879744289,0,0
34,9.611515937,0,0
35,9.343287585,0,0
36,9.119763959,0,0
37,8.851535607,0,0
38,7.599803299,0,0
39,6.661004068,0,0
40,6.661004068,0,0
41,6.795118244,0,0
42,6.92923242,0,0
43,7.152756046,0,0
44,7.644508024,0,0
45,8.53860253,0,0
46,9.432697036,0,0
47,10.14797264,0,0
48,10.23738209,0,0
49,10.14797264,0,0
50,10.10326792,0,0
51,9.522106487,0,0
52,8.493897805,0,0
53,7.644508024,0,0
54,7.063346596,0,0
55,7.063346596,0,0
56,7.912736376,0,0
57,8.851535607,0,0
58,9.656220663,0,0
59,10.37149627,0,0
60,10.81854352,0,0
61,10.99736242,0,0
62,11.1314766,0,0
63,11.17618132,0,0
64,10.99736242,0,0
65,10.9526577,0,0
66,11.04206715,0,0
67,11.08677187,0,0
68,11.04206715,0,0
69,10.99736242,0,0
70,10.99736242,0,0
71,11.22088605,0,0
72,11.44440967,0,0
73,11.4891144,0,0
74,11.35500022,0,0
75,11.1314766,0,0
76,11.17618132,0,0
77,11.35500022,0,0
78,11.62322858,0,0
79,11.62322858,0,0
80,11.4891144,0,0
81,11.6679333,0,0
82,11.93616165,0,0
83,12.29379945,0,0
84,12.78555143,0,0
85,13.09848451,0,0
86,13.32200814,0,0
87,13.45612231,0,0
88,13.59023649,0,0
89,13.72435066,0,0
90,13.72435066,0,0
91,13.63494121,0,0
92,13.59023649,0,0
93,13.54553176,0,0
94,13.59023649,0,0
95,13.76905539,0,0
96,13.59023649,0,0
97,13.36671286,0,0
98,13.18789396,0,0
99,13.32200814,0,0
100,13.54553176,0,0
101,13.72435066,0,0
102,13.81376011,0,0
103,13.85846484,0,0
104,13.81376011,0,0
105,13.59023649,0,0
106,13.32200814,0,0
107,13.36671286,0,0
108,13.50082704,0,0
109,13.72435066,0,0
110,13.94787429,0,0
111,14.21610264,0,0
112,14.39492154,0,0
113,14.48433099,0,0
114,14.39492154,0,0
115,14.17139792,0,0
116,12.78555143,0,0
117,11.3102955,0,0
118,9.835039564,0,0
119,8.359783629,0,0
120,6.884527695,0,0
121,5.40927176,0,0
122,3.934015825,0,0
123,2.458759891,0,0
124,0.983503956,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,1.475255935,0,0
165,2.950511869,0,0
166,4.425767804,0,0
167,5.901023738,0,0
168,7.376279673,0,0
169,8.851535607,0,0
170,9.924449014,0,0
171,10.86324825,0,0
172,11.53381912,0,0
173,11.80204748,0,0
174,11.4891144,0,0
